year,group,habitat,extent
2050,Run 5,Total Blue Carbon Habitats,24148.67593
2075,Run 5,Mangroves,2459.391622
2075,Run 5,Salt Marsh,1910.47126
2075,Run 5,Salt Barrens,1554.521026
2075,Run 5,Seagrass,19630.62295
2075,Run 5,Total Blue Carbon Habitats,25555.00686
2100,Run 5,Mangroves,2648.281747
2100,Run 5,Salt Marsh,1599.211055
2100,Run 5,Salt Barrens,1376.280908
2100,Run 5,Seagrass,20067.91324
2100,Run 5,Total Blue Carbon Habitats,25691.68695
2025,Run 6,Mangroves,5933.603914
2025,Run 6,Salt Marsh,2720.111794
2025,Run 6,Salt Barrens,896.1305912
2025,Run 6,Seagrass,13523.22892
2025,Run 6,Total Blue Carbon Habitats,23073.07522
2050,Run 6,Mangroves,6435.804246
2050,Run 6,Salt Marsh,2748.051813
2050,Run 6,Salt Barrens,1336.660882
2050,Run 6,Seagrass,13629.41899
2050,Run 6,Total Blue Carbon Habitats,24149.93593
2075,Run 6,Mangroves,7360.374856
2075,Run 6,Salt Marsh,2763.901823
2075,Run 6,Salt Barrens,1554.851026
2075,Run 6,Seagrass,13877.56916
2075,Run 6,Total Blue Carbon Habitats,25556.69686
2100,Run 6,Mangroves,8069.775324
2100,Run 6,Salt Marsh,2493.871645
2100,Run 6,Salt Barrens,1376.710908
2100,Run 6,Seagrass,13754.56907
2100,Run 6,Total Blue Carbon Habitats,25694.92695
